configuration_id,report_id,citation_key,title,exposure,endpoint,work_output,subsequent_state,source_url,source_locator,evidence_basis_and_scope
CU_R004,R004,egli2022_soil,Soil-Adaptive Excavation Using Reinforcement Learning,L3,Y,N,N,https://doi.org/10.1109/lra.2022.3189834,"PDF pp.6–7, hardware results, Figure 6","Physical scooping supports E. Fill was inferred from the bucket trajectory assuming material retention, not measured output. No qualifying subsequent-state use was identified."
CU_R005,R005,egli2022general,A general approach for the automation of hydraulic excavator arms using reinforcement learning,L3,Y,N,N,https://doi.org/10.1109/lra.2022.3152865,Section III.C Grading; Table VII; Figures 6 and 7,The authors explicitly report successful physical grading. Tool trajectory and orientation metrics do not assess the finished terrain; soil compression was not explicitly linked to subsequent work.
CU_R006,R006,lu2022excavation,Excavation reinforcement learning using geometric representation,L3,Y,Y,Y,https://doi.org/10.1109/lra.2022.3150511,PDF pp.4–7; Section V.A; Section VI.D; Table III; Figure 10,"Physical excavation success and extracted volume support E and W. Current scene point clouds and height maps inform successive digging decisions after material removal, supporting D. Planned poses must not be confused with successful executions."
CU_R012,R012,jin2023learning,Learning excavation of rigid objects with offline reinforcement learning,L3,Y,N,N,https://doi.org/10.48550/arxiv.2303.16427,"PDF pp.6–7, Section V, Figures 7–8, Table III","Physical penetration success supports the local task endpoint. Force, jamming and duration do not independently characterize material output. No qualifying subsequent-state use was identified."
CU_R016,R016,egli2024reinforcement,Reinforcement learning-based bucket filling for autonomous excavation,L5,Y,Y,Y,https://doi.org/10.1109/tfr.2024.3432508,PDF pp.15–19; Figures 7–13; Table 9; autonomous trench excavation results,"Physical trench completion and terrain-based evaluation support E and W. Updated terrain maps guide subsequent scoops, supporting D. Trajectory-integrated fill estimates differ from terrain-difference measurements."
CU_R017,R017,eriksson2024automatic,Automatic loading of unknown material with a wheel loader using reinforcement learning,L3,Y,Y,N,https://doi.org/10.1109/icra57147.2024.10610221,"PDF pp.5–6, Section V, Figures 9–10",Physical bucket filling and reported loaded mass support E and W. Adaptation interactions and evaluation trials have different denominators. No qualifying subsequent-state use was identified.
CU_R018,R018,eriksson2024optimizing,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,L3,Y,Y,N,https://doi.org/10.1016/j.autcon.2024.105804,"PDF pp.8,10–11, Section 5.4, Figure 14","Physical loading supports E. An internal weighing system measures material after filling, supporting W. Predicted mass is distinct from physical weighing. No qualifying subsequent-state use was identified."
CU_R023,R023,shen2024generalized,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,L3,Y,Y,N,https://doi.org/10.1109/sii58957.2024.10417575,PDF pp.6–7; Section VI.B; Table IV; Section VII,"Physical loading supports E; visual estimates of actual bucket contents support W, not calibrated weighing. Gravel results include aborted attempts. Pile geometry was not updated for subsequent planning."
CU_R025,R025,chen2025safe,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,L3,N,N,N,https://doi.org/10.1007/s11071-025-11500-w,Section 2.1 Objectives; Section 4.4 Experiments; Figures 11–13; Section 5,"Physical grading experiments report tracking and error constraints, but no separate explicit task-completion or terminal-condition evidence was identified. No output or subsequent-state evidence qualified. Linked supplementary video was not checked."
CU_R026,R026,gruetter2025towards,Towards Learning Boulder Excavation with Hydraulic Excavators,L3,Y,N,N,https://doi.org/10.48550/arxiv.2509.17683,"PDF pp.6–7, Section V.B, Table V",Physical boulder-extraction success supports E. Binary extraction success is an endpoint rather than a separate output-quality evaluation. No qualifying subsequent-state use was identified.
CU_R028,R028,kadokawa2025progressive,Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning,L3,Y,N,N,https://doi.org/10.1109/tase.2025.3590068,"PDF p.10, Section VI.G, Table V",Physical rock-removal success supports E. No separate output evaluation or qualifying subsequent-state use was identified.
CU_R030,R030,mori2025human,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,L3,Y,Y,N,https://doi.org/10.1109/access.2025.3585182,"PDF pp.3,10,12–14; Sections III.C, VI.B2, VI.C–E; Figure 13; Table 5",Unassisted physical excavation supports E. Before-and-after terrain differences support actual output evaluation. Expected bucket fill and measured excavation volume are distinct. No explicit use of measured post-operation terrain for subsequent planning was established.
CU_R037,R037,shen2026solving,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,L3,Y,Y,N,https://doi.org/10.3389/frobt.2025.1682200,Section 6.3; Equation 14; Table 3; Figure 13; PDF pp.11–12,Physical shoveling and reported physical fill rates support E and W. The reported values should not be described as direct weighing without a specified measurement method. No qualifying subsequent-state use was identified.
CU_R038,R038,spinelli2026large,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",L5,Y,Y,Y,https://doi.org/10.1109/tfr.2026.3662619,"PDF pp.7,21–24; Figure 18; Tables 6–7; Figure 19","Repeated physical transfer and loading support E. Pile distribution and loading outcomes support W. Updated maps inform planning at phase transitions, supporting D. Lower motion and more concentrated piles do not imply faster cycles."
CU_R044,R044,spinelli2024reinforcement,Reinforcement learning control for autonomous hydraulic material handling machines with underactuated tools,L3,Y,N,N,https://doi.org/10.1109/iros58592.2024.10802199,PDF pp.6–7; Section IV.B; Figures 6–8; Tables V–VI; Section VI,"Physical target-positioning results support the declared local endpoint, not complete loading or unloading. Not every target necessarily meets tolerance. Position, overshoot and tool motion remain robot metrics; W and D were not established."
CU_R055,R055,apolinarska2021robotic,Robotic assembly of timber joints using reinforcement learning,L3,Y,N,N,https://doi.org/10.1016/j.autcon.2021.103569,"PDF pp.5–7, Sections 5.3–5.4, Figures 4–6","Physical timber-joint insertion supports E, with failures retained. Machined notch accuracy is an input condition rather than measured assembly quality. No qualifying subsequent-state use was identified."
