report_id,indicator,evidence_identified,source_location,evidence_summary,interpretation,evidence_form
R004,failed_aborted_count,N,PDF p.7; Fig.7,人工深挖对照试验因机器抬起而中止,人工深挖对照试验因机器抬起而中止 不把人工对照的中止计入学习配置失败计数；未完成全文及补充核查,Outside criterion or not explicitly established
R004,human_effort_intervention,N,PDF pp.6–7; III.C and Fig.7,每次启动前人工放置铲斗；人工对照因抬起机器而中止,每次启动前人工放置铲斗；人工对照因抬起机器而中止 准备动作不等于报告人工投入指标；人工对照中止不等于学习控制器接管,Outside criterion or not explicitly established
R004,motion_metric,Y,PDF pp.6–7; III.C and Fig.6,报告实测及期望关节速度、桶速度和轨迹；明确指出实测桶速度短暂超过0.4m/s,报告实测及期望关节速度、桶速度和轨迹；明确指出实测桶速度短暂超过0.4m/s 采用实体Fig.6，不以仿真Fig.5或人工对照Fig.7代替,Reported outcome
R004,repeated_evaluation_denominator,N,PDF pp.6–7; III.C and Fig.6,文字说明每种实验重复多次，图中有多条轨迹,文字说明每种实验重复多次，图中有多条轨迹 尚未找到明确重复试验总数，不按可见曲线条数代填分母,Outside criterion or not explicitly established
R004,time_throughput,Y,PDF p.7; Fig.6 captions,三个实体场景报告总耗时均值和标准差，分别9.6/0.53、6.4/0.46、12.0/0.17秒,三个实体场景报告总耗时均值和标准差，分别9.6/0.53、6.4/0.46、12.0/0.17秒 这是真实挖掘时间；轨迹推算填充量不能因此变成实测产出,Reported outcome
R005,failed_aborted_count,N,PDF p.7,解释最大跟踪误差及接地干扰,解释最大跟踪误差及接地干扰 未确认失败或中止次数,Outside criterion or not explicitly established
R005,human_effort_intervention,N,PDF p.6,Leica半自动控制作为基线,Leica半自动控制作为基线 控制分工不是人工投入测量,Outside criterion or not explicitly established
R005,motion_metric,Y,PDF pp.6–7; Tables V–VII,实体铲刃位置、方向误差与速度,实体铲刃位置、方向误差与速度 跟踪结果不等于成品地形测量,Reported outcome
R005,repeated_evaluation_denominator,N,PDF pp.6–7,五条水平轨迹、两速度，结果按轨迹平均,Five air-tracking trajectories and two speeds describe another test condition. The grading evaluation on PDF p. 7 does not give a repeated-trial denominator; four waypoints are not four trials.,Outside criterion or not explicitly established
R005,time_throughput,N,PDF pp.6–7,给运动速度和参考轨迹,给运动速度和参考轨迹 速度指标不直接代替整任务耗时,Outside criterion or not explicitly established
R006,failed_aborted_count,Y,PDF p.6,RL-rep-exv有11/25次轨迹卡住执行失败,RL-rep-exv有11/25次轨迹卡住执行失败 不混入另一方法8次规划失败,"Reported count, with original precision retained"
R006,human_effort_intervention,N,PDF pp.6–7,描述实体卡住,描述实体卡住 未确认人工处理量,Outside criterion or not explicitly established
R006,motion_metric,N,PDF pp.6–7,报告攻击角度均值和标准差,报告攻击角度均值和标准差 计划动作参数与执行运动指标需区分,Outside criterion or not explicitly established
R006,repeated_evaluation_denominator,Y,PDF p.6; physical experiments,每种方法25次实体挖掘,每种方法25次实体挖掘 与模拟每episode次数分开,Reported outcome
R006,time_throughput,N,PDF pp.6–7,报告每次挖掘体积,报告每次挖掘体积 未确认实体耗时或单位时间产量,Outside criterion or not explicitly established
R012,failed_aborted_count,N,PDF pp.6–7; V.C.1–2 and Fig.8,讨论卡住及按最大接触力阈值计算的无卡住比例,讨论卡住及按最大接触力阈值计算的无卡住比例 未直接确定实际失败或中止次数；阈值后验曲线与实际中止记录须区分,Outside criterion or not explicitly established
R012,human_effort_intervention,N,PDF p.6; data collection,收集轨迹后人工整平材料表面,收集轨迹后人工整平材料表面 数据收集准备不等于最终评价的人工投入或接管结果,Outside criterion or not explicitly established
R012,motion_metric,N,PDF pp.6–7; Figs.7–8 and Tables II–III,报告接触力、穿入时间和组合奖励,Measured contact force is not itself a motion metric. Penetration time is assessed separately as a time outcome.,Outside criterion or not explicitly established
R012,repeated_evaluation_denominator,Y,PDF p.6; V.C.1,各场景策略评价10次试验,各场景策略评价10次试验 训练采集轨迹数与评价分母分开,Reported outcome
R012,time_throughput,Y,PDF p.6; Fig.7,分材料报告实体平均穿入时间,分材料报告实体平均穿入时间 已视觉核对；与在线微调交互量分开,Reported outcome
R016,failed_aborted_count,N,PDF pp.16–18; workflow evaluation,所读段落报告完成沟槽及动作适应，未定位独立失败或中止次数,所读段落报告完成沟槽及动作适应，未定位独立失败或中止次数 不从展示成功沟槽推断全部尝试零失败,Outside criterion or not explicitly established
R016,human_effort_intervention,Y,PDF pp.16–18; manual benchmark and duration breakdown,人工基线由操作员与测量员两人完成；操作员9%时间用于等待测量，自动监测约0.5%,人工基线由操作员与测量员两人完成；操作员9%时间用于等待测量，自动监测约0.5% 支持人工参与和等待投入比较，不等于自动系统完全无人监督；图8说明舱内有人负责安全,Reported outcome
R016,motion_metric,Y,PDF pp.16–18; Figs.8–11,图8报告逐铲桶路径；图11报告成品沟槽精度,"PDF pp. 16–17, Fig. 8 records bucket-edge paths for individual scoops on numerical coordinates. These are measured tool trajectories; trench accuracy remains a separate work-output outcome.",Reported outcome
R016,repeated_evaluation_denominator,Y,PDF pp.16–18; Performance Evaluation and Table 9,三个自主沟槽条件对应25/19/16次铲挖循环；人工沟槽20次；Table 9明确列出Num. Scoops,三个自主沟槽条件对应25/19/16次铲挖循环；人工沟槽20次；Table 9明确列出Num. Scoops 循环数是沟槽内操作单位而非独立完整沟槽重复次数；不能将三个阈值说成同条件三次重复,Reported outcome
R016,time_throughput,Y,PDF pp.16–18; Performance Evaluation and Table 9,报告沟槽作业总时间、各阶段时间及循环时间均值和标准差,报告沟槽作业总时间、各阶段时间及循环时间均值和标准差 属于完整系统表现，不单独归因于学习控制器,Reported outcome
R017,failed_aborted_count,N,PDF pp.5–6,采样时间训练比较讨论卡住情况；最终评价给重量与时间,采样时间训练比较讨论卡住情况；最终评价给重量与时间 训练卡住描述不是最终实体评价失败次数,Outside criterion or not explicitly established
R017,human_effort_intervention,N,PDF p.6; Fig.9,比较人工操作员的装载重量与时间,比较人工操作员的装载重量与时间 人类基线表现不等于人工投入或实际接管量,Outside criterion or not explicitly established
R017,motion_metric,N,PDF pp.5–6; Figs.7 and 9,报告执行器延迟及装载重量和时间,报告执行器延迟及装载重量和时间 执行器辨识延迟不直接当作最终策略的运动表现,Outside criterion or not explicitly established
R017,repeated_evaluation_denominator,Y,PDF pp.5–6; V.B and Fig.9 caption,各控制器评价采用10次铲装；评价时不加噪声且不进行梯度更新,各控制器评价采用10次铲装；评价时不加噪声且不进行梯度更新 不将训练episode数作为评价分母,Reported outcome
R017,time_throughput,Y,PDF p.6; Fig.9 and results,报告各控制器平均装载时间；岩石预训练策略适配后由7.0秒降至6.4秒,报告各控制器平均装载时间；岩石预训练策略适配后由7.0秒降至6.4秒 与约40分钟适配训练时间分开；已视觉核对图文,Reported outcome
R018,failed_aborted_count,Y,PDF p.11; Fig.14,图中三种控制器成功率均为100.00%；每组10次，因此各组零失败,图中三种控制器成功率均为100.00%；每组10次，因此各组零失败 候选依据为明确分母与全部成功的结局，不是原文单独列出的失败次数；与R055统一裁决,Derived uniquely from successful outcomes and denominator
R018,human_effort_intervention,N,PDF pp.9–11; Fig.14,提供操作员装载表现基线,提供操作员装载表现基线 未据此判定人工投入量或实际干预结果,Outside criterion or not explicitly established
R018,motion_metric,N,PDF p.11; Fig.15 and text,给出倾斜与举升命令曲线并讨论平滑性,给出倾斜与举升命令曲线并讨论平滑性 命令曲线不直接当作测得的机器人运动指标,Outside criterion or not explicitly established
R018,repeated_evaluation_denominator,Y,PDF pp.9–11; Fig.14 caption,三种控制器各在同一料堆进行10次实体试验,三种控制器各在同一料堆进行10次实体试验 分母为每个控制器10次，不将三组混为单策略30次,Reported outcome
R018,time_throughput,Y,PDF pp.9–11; sections 5.4 and 6.3; Fig.14,实体比较报告装载时间及与操作员的相对差异,实体比较报告装载时间及与操作员的相对差异 不使用模拟训练耗时；已视觉核对Fig.14,Reported outcome
R023,failed_aborted_count,Y,PDF pp.6–7; Table IV,砾石落下引起底盘倾斜，两次任务终止,砾石落下引起底盘倾斜，两次任务终止 直接实体次数,"Reported count, with original precision retained"
R023,human_effort_intervention,N,PDF p.7,两次安全终止,两次安全终止 原文未在此说明终止由人工实施，不自动记人工干预,Outside criterion or not explicitly established
