report_id,record_id,citation_key,title,synthesis_role,report_lineage_id,reports_in_lineage
R001,A0533,nakatani2018grading_dqn,Autonomous grading work using deep reinforcement learning based control,Structured comparative,L001_GRADING_DQN_2018,2
R002,U01513,matsumoto2020simulation,Simulation-based reinforcement learning approach towards construction machine automation,Structured comparative,SINGLETON_R002,1
R003,U01438,Osaka2021,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,Structured comparative,SINGLETON_R003,1
R004,U01017,egli2022_soil,Soil-Adaptive Excavation Using Reinforcement Learning,Structured comparative,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4
R005,U01476,egli2022general,A general approach for the automation of hydraulic excavator arms using reinforcement learning,Structured comparative,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4
R006,U01029,lu2022excavation,Excavation reinforcement learning using geometric representation,Structured comparative,L016_LU_ZHU_FRANKA_EXCAVATION_PLATFORM,3
R007,U01037,osa2022deep,Deep reinforcement learning with adversarial training for automated excavation using depth images,Structured comparative,L007_OSA_KOMATSU_EXCAVATION_SIMULATOR,2
R008,R008,ross2021agpnet,AGPNet -- Autonomous Grading Policy Network,Structured comparative,SINGLETON_R008,1
R009,U01411,zhang_towards_2022,Towards Autonomous and Optimal Excavation of Shield Machine: A Deep Reinforcement Learning-Based Approach,Structured comparative,SINGLETON_R009,1
R011,U01044,ishmatuka2023autonomous,Autonomous pick-and-place using excavator based on deep reinforcement learning,Structured comparative,SINGLETON_R011,1
R012,R012,jin2023learning,Learning excavation of rigid objects with offline reinforcement learning,Structured comparative,L016_LU_ZHU_FRANKA_EXCAVATION_PLATFORM,3
R013,U01005,osa2023learning,Learning adaptive policies for autonomous excavation under various soil conditions by adversarial domain sampling,Structured comparative,L007_OSA_KOMATSU_EXCAVATION_SIMULATOR,2
R016,U02315,egli2024reinforcement,Reinforcement learning-based bucket filling for autonomous excavation,Structured comparative,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4
R017,U00969,eriksson2024automatic,Automatic loading of unknown material with a wheel loader using reinforcement learning,Structured comparative,L005_ERIKSSON_WHEEL_LOADER_BUCKET_FILLING,2
R018,U00676,eriksson2024optimizing,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,Structured comparative,L005_ERIKSSON_WHEEL_LOADER_BUCKET_FILLING,2
R019,U01095,Lee2024181,Task Space Control of Hydraulic Construction Machines Using Reinforcement Learning,Structured comparative,L010_LEE_BROKK_170_DATA_MODEL,2
R020,U00595,Lin2024,Physics-informed deep reinforcement learning for enhancement on tunnel boring machine's advance speed and stability,Structured comparative,SINGLETON_R020,1
R021,U00746,LinPosition2024,Automated position control of tunnel boring machine during excavation using deep reinforcement learning,Structured comparative,L011_T308_TBM_PROJECT,2
R023,U01440,shen2024generalized,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,Structured comparative,L008_SHEN_MUSTANG_2040_LOADING,1
R024,R024,yoo20243d,3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints,Structured comparative,SINGLETON_R024,1
R025,U00328,chen2025safe,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,Structured comparative,SINGLETON_R025,1
R026,R026,gruetter2025towards,Towards Learning Boulder Excavation with Hydraulic Excavators,Structured comparative,SINGLETON_R026,1
R027,U00905,helian2025reinforcement,Reinforcement Learning-Based Autonomous Control Methodology of Hydraulic Excavators,Structured comparative,SINGLETON_R027,1
R028,U00661,kadokawa2025progressive,Progressive-resolution policy distillation: Leveraging coarse-resolution simulations for time-efficient fine-resolution policy learning,Structured comparative,SINGLETON_R028,1
R029,U00633,Kim2025896,Enhanced Hydraulic Excavator Control via Semi-automatic Grading Control Using Reinforcement Learning,Structured comparative,SINGLETON_R029,1
R030,U00773,mori2025human,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,Structured comparative,SINGLETON_R030,1
R032,U00627,shin2025adaptive,Adaptive Excavation Automation in Complex Soil Environments Using Reinforcement Learning,Structured comparative,SINGLETON_R032,1
R033,U00260,tan2025reinforcement,Reinforcement learning-based trajectory planning for continuous digging of excavator working devices in trenching tasks,Structured comparative,SINGLETON_R033,1
R034,U00083,Zhang2025,Time-optimal online trajectory planning for excavator robotics based on reinforcement learning,Structured comparative,SINGLETON_R034,1
R035,U00169,cho2026collaborative,Collaborative learning architecture for autonomous excavator planning and execution,Structured comparative,SINGLETON_R035,1
R037,U00065,shen2026solving,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,Structured comparative,SINGLETON_R037,1
R038,U02092,spinelli2026large,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",Structured comparative,L006_SPINELLI_MATERIAL_HANDLER_PLATFORM,2
R039,U00230,Sun2026,Digital twin--enabled real-time control of tunnel boring machines using deep reinforcement learning for cumulative settlement management,Structured comparative,SINGLETON_R039,1
R040,U00061,wang2025intelligent,Intelligent attitude control in tunnel boring machine considering uncertain underground environment using deep reinforcement learning,Structured comparative,L011_T308_TBM_PROJECT,2
R041,A3800,sun2018grading_dqn,Optimal routing control of a construction machine by deep reinforcement learning,Structured comparative,L001_GRADING_DQN_2018,2
R042,U01522,kurinov2020automatedexcavator,Automated Excavator Based on Reinforcement Learning and Multibody System Dynamics,Eligible contextual,SINGLETON_R042,1
R043,U01441,Azulay202124145,Wheel loader scooping controller using deep reinforcement learning,Eligible contextual,SINGLETON_R043,1
