report_id,citation_key,title,task_and_failure_regime,execution_time_protection,validation_exposure_code,validation_exposure,detection_status,detection_evidence,response_status,response_evidence,restoration_status,restoration_evidence,continuation_status,continuation_evidence,review_status
R004,egli2022_soil,Soil-Adaptive Excavation Using Reinforcement Learning,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Enacted in the final evaluation,"PDF pp. 6–7, Hardware Experiments and Fig. 6. A shallow buried granite block restricts penetration; measured torque and motion accompany dragging along the rock. This is a physical obstruction and a linked change of execution, not merely the availability of force feedback.",Enacted in the final evaluation,"PDF pp. 6–7, Hardware Experiments and Fig. 6. A shallow buried granite block restricts penetration; measured torque and motion accompany dragging along the rock. This is a physical obstruction and a linked change of execution, not merely the availability of force feedback.",Not demonstrated in the final evaluation,"Not reported after a policy, sensing, or excavation failure; pullup is a terminal single-scoop behavior rather than restoration of a failed task state.",Not demonstrated in the final evaluation,"Not reported; each physical experiment is a manually initialized scoop, and multi-scoop continuation is left for future practical applications.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R005,egli2022general,A general approach for the automation of hydraulic excavator arms using reinforcement learning,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"Joint states and task-space tracking error are observed by the controller. The grading contact appears as tracking error; no separate contact, overload, collision, or failure detector is specified.",Partial or indirect evidence,Track task-space linear/angular velocity through four pilot-stage valve-current commands; an outer proportional layer corrects pose error along the prescribed reference trajectory.,Not demonstrated in the final evaluation,Not reported after the grading contact or any controller failure.,Not demonstrated in the final evaluation,Not reported; completion of one nominal prescribed trajectory does not establish resumption after interruption or sustained grading production.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R006,lu2022excavation,Excavation reinforcement learning using geometric representation,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Not demonstrated in the final evaluation,Stuck outcomes are shown but runtime identification of the stuck state is not established.,Not demonstrated in the final evaluation,Handling and reset between depicted digging outcomes are not specified.,Not demonstrated in the final evaluation,Restoration of digging conditions after the stuck outcomes is not documented.,Partial or indirect evidence,Further successful digging is depicted after stuck outcomes; intervening handling/reset is unknown.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R012,jin2023learning,Learning excavation of rigid objects with offline reinforcement learning,Earthwork and Material Processing,Command intervention,L3,L3 — Construction-representative testbed,Enacted in the final evaluation,"PDF p. 7, Table III and Changing the Jamming Threshold/Fig. 8. A mulch particle stuck in the bucket teeth causes a large measured contact force in a real trial. The force limit describes a stop mechanism, but the cited evaluation does not explicitly establish its activation in that event.",Partial or indirect evidence,"PDF p. 7, Table III and Changing the Jamming Threshold/Fig. 8. A mulch particle stuck in the bucket teeth causes a large measured contact force in a real trial. The force limit describes a stop mechanism, but the cited evaluation does not explicitly establish its activation in that event.",Not demonstrated in the final evaluation,No event-linked restoration is documented.,Not demonstrated in the final evaluation,No event-linked resumption is documented.,"Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R016,egli2024reinforcement,Reinforcement learning-based bucket filling for autonomous excavation,Earthwork and Material Processing,Boundary monitoring,L5,L5 — Workflow-integrated repeated operation,Partial or indirect evidence,"PDF pp. 16–18, trench evaluation, Fig. 8 and Table 9. At the selected workflow exposure, scoop 14 starts above the soil after a mapping error and the controller remains effective. The account does not establish identification of the error during execution or a corrective command linked to that identification. Hard-ground tests at another exposure and routine map updates do not supply the missing event evidence.",Partial or indirect evidence,"PDF pp. 16–18, trench evaluation, Fig. 8 and Table 9. At the selected workflow exposure, scoop 14 starts above the soil after a mapping error and the controller remains effective. The account does not establish identification of the error during execution or a corrective command linked to that identification. Hard-ground tests at another exposure and routine map updates do not supply the missing event evidence.",Not demonstrated in the final evaluation,Not reported after a failed physical scoop or safety intervention. Map updating advances the planned terrain state rather than restoring a failed state.,Partial or indirect evidence,"NOMINAL_WORKFLOW_CONTINUATION_REPORTED: after successful scoop/dump cycles, the planner remaps, selects another point of attack, and continues until more than 90% of cells meet the depth criterion. No post-disturbance or post-failure resumption test is reported.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R017,eriksson2024automatic,Automatic loading of unknown material with a wheel loader using reinforcement learning,Earthwork and Material Processing,Command intervention,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"PDF pp. 4–5, III.D and V.B. Force, angle and speed feedback are used during evaluation. Reported learning episodes and the available safety-driver abort do not establish a failure-relevant event detected or acted on during the noise-free evaluation.",Partial or indirect evidence,"PDF pp. 4–5, III.D and V.B. Force, angle and speed feedback are used during evaluation. Reported learning episodes and the available safety-driver abort do not establish a failure-relevant event detected or acted on during the noise-free evaluation.",Not demonstrated in the final evaluation,"Not reported after a stuck, overloaded, or unsuccessful physical scoop.",Not demonstrated in the final evaluation,"Not reported after failure; evaluation bucket fillings and pile preparation are separate episodes, and continuous loading, hauling, dumping, and return are outside scope.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R018,eriksson2024optimizing,Optimizing bucket-filling strategies for wheel loaders inside a dream environment,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"Sections 4.1, 4.2 and 5.4. Force and motion signals and force-gated entry into loading describe feedback and a nominal phase transition; they do not establish a failure-related event and response during evaluation.",Partial or indirect evidence,"Sections 4.1, 4.2 and 5.4. Force and motion signals and force-gated entry into loading describe feedback and a nominal phase transition; they do not establish a failure-related event and response during evaluation.",Not demonstrated in the final evaluation,Not reported after a failed scoop; all ten world-model-policy trials are reported successful.,Not demonstrated in the final evaluation,"Not reported after failure. Ten isolated bucket fillings do not establish autonomous pile reset, haul, dump, return, or resumption after interruption.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R023,shen2024generalized,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,Earthwork and Material Processing,No reported active execution-time protection,L3,L3 — Construction-representative testbed,Enacted in the final evaluation,"PDF p. 7, physical evaluation and Table IV. Two trials are terminated after falling gravel makes the loading surface uneven and tilts the chassis. The explicit condition-to-termination account supports observed detection and an execution-changing response. The detector and responsible actor are not specified, so autonomous detection or recovery is not inferred.",Enacted in the final evaluation,"PDF p. 7, physical evaluation and Table IV. Two trials are terminated after falling gravel makes the loading surface uneven and tilts the chassis. The explicit condition-to-termination account supports observed detection and an execution-changing response. The detector and responsible actor are not specified, so autonomous detection or recovery is not inferred.",Not demonstrated in the final evaluation,Not reported after either safety-related failure; failed-attempt end states are not characterized.,Not demonstrated in the final evaluation,"Not reported. Trials continue on a changing pile, but no post-failure reset, safe restoration, or autonomous workflow resumption is established.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
R025,chen2025safe,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,Earthwork and Material Processing,Command intervention,L3,L3 — Construction-representative testbed,Partial or indirect evidence,Tracking feedback provides partial failure-relevant information; no specific hardware disturbance detection event is identified.,Partial or indirect evidence,Bounded tracking describes response capability; simulated parameter changes are not physical event evidence.,Not demonstrated in the final evaluation,No hardware event-linked restoration is documented.,Not demonstrated in the final evaluation,No hardware event-linked resumption is documented.,Baseline assessment reviewed and confirmed by the coauthors on 7 September 2026
R026,gruetter2025towards,Towards Learning Boulder Excavation with Hydraulic Excavators,Earthwork and Material Processing,Command intervention,L3,L3 — Construction-representative testbed,Partial or indirect evidence,"PDF pp. 6–7, IV.C–D and Figs. 5–6. Longer dragging in high-resistance soil demonstrates material-dependent control. These passages do not identify a failure-relevant event followed by an activated recovery response; reported occlusion failures do not establish online identification of the failure.",Partial or indirect evidence,"PDF pp. 6–7, IV.C–D and Figs. 5–6. Longer dragging in high-resistance soil demonstrates material-dependent control. These passages do not identify a failure-relevant event followed by an activated recovery response; reported occlusion failures do not establish online identification of the failure.",Not demonstrated in the final evaluation,Not reported after a failed hardware attempt.,Not demonstrated in the final evaluation,"Not reported; unsuccessful trials are analyzed, but autonomous retry or continuation of a multi-rock workflow is not demonstrated.","Event-evidence reassessment, 24 September 2026, following author-approved criterion; AI-assisted source review. Historical coauthor verification is retained in the separate baseline, not asserted for these revised assignments."
