database,branch,title,doi,year,authors,source,source_record_id,unique_id,source_databases,source_branches,alternate_titles,duplicate_record_count,ta_decision,ta_exclusion_code,ta_exclusion_reason,ta_confidence,ta_basis,gold_report_id,gold_synthesis_group,prior_screen_decision,prior_agreement
Scopus,master,Service Delay Deviation-Aware Vehicle-Road Cooperative Control for Communication-Transportation-Power Integrated Complex System,10.1109/tvt.2026.3713220,2026,Liao H.; Ci H.; Yao Z.; Li Z.; Zhou Z.; Tariq M.; Mumtaz S.; Al-Dulaimi A.,IEEE Transactions on Vehicular Technology,2-s2.0-105045015155,U00001,IEEE Xplore | Scopus,master | robot_domain,Service Delay Deviation-Aware Vehicle-Road Cooperative Control for Communication-Transportation-Power Integrated Complex System,2,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Impact-aware Maneuver Decision with Driving Style Tuning for Autonomous Vehicle,10.1109/tkde.2026.3668787,2026,Xia Y.; Liu S.; Zhao Y.; Su H.; Zhou X.; Zheng K.,IEEE Transactions on Knowledge and Data Engineering,2-s2.0-105032188267,U00002,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,master | robot_domain,Impact-Aware Maneuver Decision With Driving Style Tuning for Autonomous Vehicle || Impact-aware Maneuver Decision with Driving Style Tuning for Autonomous Vehicle,4,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Feasibility study and evaluation of digitalization of power grid driven by artificial intelligence,10.1117/12.3094160,2025,Gao F.,Proceedings of SPIE - The International Society for Optical Engineering,2-s2.0-105026557751,U00003,Compendex | Scopus,master,Feasibility study and evaluation of digitalization of power grid driven by artificial intelligence,2,Exclude,TA3,Reinforcement learning used for non-embodied optimization,0.97,ordered_rule,,,,True
Scopus,master,Improving Robot Assembly and Obstacle Avoidance Performance With Transfer Reinforcement Learning: Dynamic Environment Adaptation With Human-Machine Collaboration,10.1109/tase.2026.3701446,2026,Zhu W.; Cheng M.; Lu Q.; Zhao Z.; Cao L.; Luo L.; He Y.,IEEE Transactions on Automation Science and Engineering,2-s2.0-105042896499,U00004,Compendex | Scopus,master,Improving Robot Assembly and Obstacle Avoidance Performance With Transfer Reinforcement Learning: Dynamic Environment Adaptation With Human-Machine Collaboration,2,Exclude,TA4,Not construction-relevant,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Skill cognitive maps: Learning task-agnostic skill relationships through episodic memory for context-aware planning,10.1007/s11761-026-00502-0,2026,Wang Z.; Hu X.; Li P.; Di K.; Jiang Y.; Zuo T.; Wang Y.; Shan D.; Liu T.,Service Oriented Computing and Applications,2-s2.0-105045486140,U00005,Scopus | Web of Science Core Collection,master,Skill cognitive maps: Learning task-agnostic skill relationships through episodic memory for context-aware planning,2,Exclude,TA3,Reinforcement learning used for non-embodied optimization,0.97,ordered_rule,,,,True
Scopus,master,Quantitative multi-index residual capacities assessment of structural components through deep-learning-based image processing: A proof-of-concept study on masonry walls,10.1016/j.aei.2025.103185,2025,Cai W.-Z.; Chen S.-Z.; Feng D.-C.; Taciroglu E.,Advanced Engineering Informatics,2-s2.0-85217710662,U00006,Compendex | Scopus,master,Quantitative multi-index residual capacities assessment of structural components through deep-learning-based image processing: A proof-of-concept study on masonry walls,2,Exclude,TA2,No explicit reinforcement-learning method in the available metadata,0.98,ordered_rule,,,,True
Scopus,master,Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Considering Uncertain Navigation Intent of Target Ships,10.1109/tits.2025.3649489,2026,Li Y.; Wu D.; Li G.; Fan Z.; Yuan Z.-M.,IEEE Transactions on Intelligent Transportation Systems,2-s2.0-105028017964,U00007,Compendex | IEEE Xplore | Scopus | Web of Science Core Collection,master | robot_domain,Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Considering Uncertain Navigation Intent of Target Ships || Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Considering Uncertain Navigation Intent of Target Ships (Open Access),4,Exclude,TA3,RL used only for non-embodied optimization,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,Transformation & Translation Occupancy Grid Mapping: 2-dimensional deep learning refined SLAM,10.1016/j.robot.2026.105405,2026,Davies L.; Li B.; Saada M.; Sølvsten S.; Meng Q.,Robotics and Autonomous Systems,2-s2.0-105031780133,U00008,Scopus | Web of Science Core Collection,master,Transformation & Translation Occupancy Grid Mapping: 2-dimensional deep learning refined SLAM,2,Exclude,TA2,Not reinforcement learning / no DRL relevance,1.00,transferred_prior_frozen_screen,,,Exclude,True
Scopus,master,AUTONOMOUS DRONE-AI COLLABORATION FOR ADAPTIVE CRACK MAPPING AND PROGRESSIVE DAMAGE QUANTIFICATION DRONE—AI COLLABORATION FOR NON -DESTRUCTIVE ASSESSMENT OF CIVIL INFRASTRUCTURE,10.5281/zenodo.20252543,2026,Katamaneni M.; Kala N.S.; Prakash P.R.; Nagaraju M.; Rao T.M.; Santhi M.V.B.T.; Rao D.S.; Thottathyl H.,Journal of Theoretical and Applied Information Technology,2-s2.0-105042476978,U00009,Scopus,master,AUTONOMOUS DRONE-AI COLLABORATION FOR ADAPTIVE CRACK MAPPING AND PROGRESSIVE DAMAGE QUANTIFICATION DRONE—AI COLLABORATION FOR NON -DESTRUCTIVE ASSESSMENT OF CIVIL INFRASTRUCTURE,1,Exclude,TA4,No construction- or civil-task relevance in the available metadata,0.94,ordered_rule,,,,True
Scopus,master,Mechanical Characterization of 3D Printed Fiber-Reinforced Composite Structures for Reinforcement Learning-Aided Design,10.1007/s12541-025-01235-4,2025,Hyun G.W.; Yuk J.C.; Park S.H.,International Journal of Precision Engineering and Manufacturing,2-s2.0-105000313017,U00010,Compendex | Scopus | Web of Science Core Collection,master,Mechanical Characterization of 3D Printed Fiber-Reinforced Composite Structures for Reinforcement Learning-Aided Design,3,Exclude,TA1,No physical or simulated robot/construction-machine system,0.95,ordered_rule,,,,True
