configuration_id,representative_report_id,citation_key,title,report_lineage_id,reports_in_lineage,task_and_failure_regime,learned_role_in_execution,execution_time_protection,validation_exposure_code,validation_exposure,command_path_summary,final_evaluation_summary,supported_operating_scope
CU_L001_GRADING_DQN_2018,R001,nakatani2018grading_dqn,Autonomous grading work using deep reinforcement learning based control,L001_GRADING_DQN_2018,2,Earthwork and Material Processing,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,"Evaluation removes epsilon-greedy randomness and permits up to 1,000 actions. Three cited checkpoints leave zero holes; the best selected checkpoint takes 335 actions. A human simulator route takes 452 actions and is described as the best among many trials, whose denominator and protocol are not stated.","Supports route selection in one discrete fixed-layout grading simulator with the stated actions and reward. Machine dynamics, blade-soil control, changed sand states, repeated reliability, physical execution, safeguards, recovery, and construction workflow remain outside scope."
CU_R002,R002,matsumoto2020simulation,Simulation-based reinforcement learning approach towards construction machine automation,SINGLETON_R002,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","The best saved policy from each condition is tested in 100 simulated trials. Success is threshold-defined for sway reduction or simulated bucket fill; the source reports method-level success percentages but no hardware execution, multi-seed uncertainty, or construction workflow test.","Supports the reported Vortex crane-sway and single-bucket-loading abstractions and their method-level success percentages. It does not support sim-to-real robustness, physical machine control, site disturbance tolerance, autonomous failure recovery, or continued construction operation."
CU_R003,R003,Osaka2021,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,SINGLETON_R003,1,Earthwork and Material Processing,Task/planner-level,No reported active execution-time protection,L0,L0 — Simulation only,Task- or planner-level learned decisions,"The highest average-filling-rate checkpoints are tested on 36 initial sediment positions arranged at 0.5 m increments, including positions not used for learning. Table II compares mean train/test filling rates for PPO and PPO+LSTM.","Supports route selection for the stated continuous-height sediment simulator and held-out initial-position range. It does not support full bulldozer motion control, real soil grading, runtime safety, physical generalization, or recovery after execution failure."
CU_R004,R004,egli2022_soil,Soil-Adaptive Excavation Using Reinforcement Learning,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Simulation evaluates soft, medium, and hard soil parameters. Physical experiments repeat each reported scenario multiple times in soft-to-medium soil, with close-to-machine initialization, and with a buried granite block that creates an abrupt hard-to-soft transition; exact per-scenario repeat counts are not stated in the extracted text.","Supports adaptive single-scoop excavation on the reported 12-ton platform, standard-valve control stack, horizontal-ground assumption, tested initialization range, and soil transitions. It does not support unattended operation, arbitrary buried-object handling, slope/cabin-turn generalization, autonomous retry, or sustained excavation workflow resumption."
CU_R005,R005,egli2022general,A general approach for the automation of hydraulic excavator arms using reinforcement learning,L004_HEAP_EXCAVATOR_EGLI_PLATFORM,4,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Physical tests include circular trajectories of 1.5 m diameter at three average speeds, five horizontal trajectories at two speeds, three- and four-joint controller variants, comparison with the Leica semi-automatic controller in air, and a prescribed four-waypoint grading trajectory with soil contact.","Supports task-space arm tracking and one controlled grading trajectory on the reported machine, actuator-data range, planar cabin-relative motion, and control stack. It does not support autonomous grading-path generation, independent safety enforcement, arbitrary soil disturbance adaptation, recovery after contact, or sustained construction workflow operation."
CU_R006,R006,lu2022excavation,Excavation reinforcement learning using geometric representation,L016_LU_ZHU_FRANKA_EXCAVATION_PLATFORM,3,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Simulation evaluation uses 100 episodes and 1,000 planned excavations per learned method. Physical evaluation uses five episodes of five sequential excavations for each learned method, reporting planning validity, execution success, and excavated volume.","Supports sequential attacking-pose planning and bounded physical execution on the reported Franka/tray apparatus, object set, reduced path lengths, and five-action episodes. It does not support hydraulic excavator deployment, reactive contact control, autonomous recovery from sticking, or sustained material-loading production."
CU_R007,R007,osa2022deep,Deep reinforcement learning with adversarial training for automated excavation using depth images,L007_OSA_KOMATSU_EXCAVATION_SIMULATOR,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","During training, policies are tested every 5,000 steps using ten episodes without exploration and averaged across five seeds. Task progress above 90% defines simulated success. The extracted text reports comparative curves and Table 1, whose exact numeric entries require direct visual verification.","Supports depth-image trajectory planning and critic-regularization comparisons in the stated fixed-soil simulator. It does not support robustness to soil-parameter changes, physical excavator control, safety under adversarial conditions, or autonomous failure recovery."
CU_R008,R008,ross2021agpnet,AGPNet -- Autonomous Grading Policy Network,SINGLETON_R008,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Eight algorithm variants are evaluated on 50 independently generated runs for each of three simulated scenario types. The combined RL+BC+CL method is compared with the SnP heuristic across height, volume, step, and total-reward metrics.","Supports high-level waypoint learning in the reported numerical simulator and physical comparison of sand-height-map evolution on a 1:9 prototype. It does not support learned-policy execution on hardware, full-scale grading, runtime safety, or post-failure recovery."
CU_R009,R009,zhang_towards_2022,Towards Autonomous and Optimal Excavation of Shield Machine: A Deep Reinforcement Learning-Based Approach,SINGLETON_R009,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Agents are evaluated on historical indices 300,000--450,000 not used during training. Actions are constrained to the range used by human operators on the same segment. Model-generated advance speed, energy, reward, and action sequences are compared with recorded human operation.","Supports hierarchical policy/controller analysis and held-out historical-sequence evaluation for the reported machine model and project data. It does not support autonomous physical TBM excavation, verified field savings, cross-project generalization, safe operator handover, or recovery from tunnelling faults."
CU_R011,R011,ishmatuka2023autonomous,Autonomous pick-and-place using excavator based on deep reinforcement learning,SINGLETON_R011,1,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","The paper validates one stated initial-to-target pose and then a prescribed six-target pick-and-place trajectory, reporting coordinate-wise pose RMSE. It does not state an independent test distribution, repeated-run denominator, seed count, or uncertainty interval.","Supports PPO task-space tracking in the stated PyBullet excavator model and waypoint sequence. It does not support physical material handling, real-excavator accuracy, autonomous safety, or workflow recovery."
CU_R012,R012,jin2023learning,Learning excavation of rigid objects with offline reinforcement learning,L016_LU_ZHU_FRANKA_EXCAVATION_PLATFORM,3,Earthwork and Material Processing,Bounded skill or supervisory,Command intervention,L3,L3 — Construction-representative testbed,"Mediated skill/reference, supervisory, or shared-control configuration","Physical policies are executed for ten trials in each reported material/scenario. Evaluation records trajectory reward, penetration duration, average/maximal contact force, and jamming-free rate under varied allowable-force criteria across five training terrains and unseen fragmented rocks.","Supports laboratory penetration-policy learning and bounded fine-tuning for the reported Franka, primitive set, six materials, and force-limited controller. It does not support complete excavation planning, automatic post-halt recovery, hydraulic-excavator transfer, or sustained production."
CU_R013,R013,osa2023learning,Learning adaptive policies for autonomous excavation under various soil conditions by adversarial domain sampling,L007_OSA_KOMATSU_EXCAVATION_SIMULATOR,2,Earthwork and Material Processing,Bounded skill or supervisory,No reported active execution-time protection,L0,L0 — Simulation only,"Mediated skill/reference, supervisory, or shared-control configuration","Four typical soil domains and uniformly sampled domains are evaluated. Reported curves average five random seeds with 30 test episodes and show a 90 percent confidence region; Table II reports performance after 400,000 steps.","Supports hard-domain sampling and latent soil-parameter adaptation in the stated simulator, parameter ranges, and arc-action abstraction. It does not support adversarial-site safety, noisy physical sensing, excavator deployment, or autonomous recovery."
