record_id,report_id,title,doi,year,retrieval_route,eligibility_decision,synthesis_role,exclusion_reason,decision_basis
U00024,R136,Sample-Efficient Robot Skill Learning for Construction Tasks: Benchmarking Hierarchical Reinforcement Learning and Vision-Language-Action Model,10.1061/jccee5.cpeng-7696,2026,database retrieved,include,Structured comparative,,"Meets the prespecified construction/civil, deep-RL, embodied-execution, and original-evidence criteria."
U00029,,Set-Membership Global Estimation for Multi-Sensor Asynchronous Sampling Systems: A Soft Actor–Critic-Based Approach,10.1109/tase.2025.3640208,2026,database retrieved,exclude,,The learned output does not enter embodied task execution,DRL performs sensor-estimate fusion for monitoring; the learned output does not enter embodied task execution.
U00040,R105,Robust Input Shaping Vibration Suppression Control for a Rigid-Flexible Coupling Hoisting Robot Using Deep Reinforcement Learning,10.1109/tii.2026.3678043,2026,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,"The review eligibility criteria require the evaluated configuration itself, not an industry list, to have a construction/civil setting."
U00048,R091,A reinforcement learning and nonlinear adaptive backstepping hierarchical control for autonomous remote construction using 5G network,10.1016/j.cacaie.2026.100013,2026,database retrieved,include,Structured comparative,,"Construction context, deep RL, and a reported command-execution chain are all explicit."
U00051,R127,Safety-aware predictive motion planning for close-range human-UAV collaboration in construction,10.1016/j.autcon.2026.106771,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00058,R101,Deep reinforcement learning-based trajectory planning for double pendulum cranes: Design and experiments,10.1016/j.ymssp.2025.112780,2025,database retrieved,exclude,,Outside the construction or civil-infrastructure scope,Generic double-pendulum crane experiment without construction/civil application
U00061,R040,Intelligent attitude control in tunnel boring machine considering uncertain underground environment using deep reinforcement learning,10.1016/j.asoc.2025.114285,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00064,R125,Path planning for UAV-based construction safety inspection under spatiotemporal interference from tower cranes,10.1016/j.autcon.2026.106762,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00065,R037,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,10.3389/frobt.2025.1682200,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00067,R053,Reinforcement learning-driven adaptive 3D simulation and visualization of excavator operations,10.1016/j.autcon.2025.106626,2026,database retrieved,include,Eligible contextual,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00069,R126,Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction,10.1016/j.autcon.2025.106617,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
U00074,R109,Development and Implementation of Machine Learning–Based Hierarchical Approach for Autonomous Retaining Wall Construction Using a Robotized Crane,10.1061/jccee5.cpeng-7293,2026,database retrieved,include,Structured comparative,,Previously included report retrieved by the four-database search; the recorded eligibility decision was carried forward from prior screening.
